,대분류,중분류,소분류,종목 설명,종목 코드,투자 가능 대상 여부,산업 섹터,투자 지역,투자 스타일,level,부모
80,주식,해외주식,기타,ACE 베트남VN30(합성),245710,4,일반,베트남,패시브,3,68
81,주식,해외주식,미국주식,KODEX 미국나스닥100레버리지(합성 H),409820,5,일반,미국,레버리지,3,66
82,주식,해외주식,기타,TIGER 미국필라델피아반도체레버리지(합성),423920,5,IT/반도체,미국,레버리지,3,68
83,주식,해외주식,미국주식,TIGER 미국나스닥100레버리지(합성),418660,5,일반,미국,레버리지,3,66
84,주식,해외주식,기타,KODEX 차이나CSI300,283580,4,일반,중국,패시브,3,68
85,주식,미국채권,중장기채권,ACE 미국30년국채액티브(H),453850,2,일반,미국,패시브,2,86
86,채권,미국채권,중장기채권,TIGER 미국달러단기채권액티브,329750,2,주요 환율,미국,패시브,3,86
87,주식,미국채권,중장기채권,KODEX 미국30년국채울트라선물(H),304660,2,일반,미국,레버리지,3,86
88,주식,미국채권,중장기채권,TIGER 미국채10년선물,305080,2,일반,미국,패시브,3,86
89,주식,미국채권,회사채,TIGER 미국투자등급회사채액티브(H),458260,3,일반,미국,패시브,2,90
90,채권,미국채권,중장기채권,KODEX 미국종합채권ESG액티브(H),437080,2,기타,미국,패시브,3,86
91,주식,미국채권,회사채,PLUS 미국장기우량회사채,332620,3,일반,미국,패시브,3,90
92,주식,미국채권,회사채,KODEX iShares미국하이일드액티브,468380,3,일반,미국,패시브,3,90
93,주식,미국채권,회사채,PLUS 미국단기회사채(AAA~A),332610,3,일반,미국,패시브,3,90
94,주식,미국채권,단기채권,TIGER 미국달러SOFR금리액티브(합성),456610,1,주요 환율,미국,패시브,3,37
95,원자재,귀금속,기타,KODEX 골드선물(H),132030,5,금,한국,패시브,3,51
96,부동산,기타,기타,TIGER 미국MSCI리츠(합성 H),182480,4,부동산,미국,패시브,3,48
97,주식,기타,기타,KODEX 은선물(H),144600,4,일반,한국,패시브,3,48
98,원자재,에너지,기타,KODEX WTI원유선물(H),261220,5,에너지 투자,한국,패시브,,
99,주식,기타,기타,KODEX 유럽탄소배출권선물ICE(H),400570,4,일반,유럽,패시브,,
100,부동산,기타,기타,KODEX 미국부동산리츠(H),352560,5,부동산,미국,패시브,,
101,FX,외환,기타,KOSEF 미국달러선물,138230,5,주요 환율,미국,패시브,,
102,원자재,농산물,기타,KODEX 3대농산물선물(H),271060,5,농산물 투자,한국,패시브,,
103,원자재,귀금속,기타,TIGER 구리실물,160580,5,구리,한국,패시브,,
104,원자재,에너지,기타,TIGER 원유선물Enhanced(H),130680,5,에너지 투자,한국,패시브,,
105,FX,외환,기타,KOSEF 미국달러선물레버리지,225800,5,주요 환율,미국,레버리지,,
106,부동산,기타,기타,KODEX 일본부동산리츠(H),352540,5,기타,한국,패시브,,
